Title,Author ,MF,Series,Rating,Year,Date Read,Owned?,Keywords,Century,Drama,SF,Fantasy,Detectives,Spies,Comedy,History,Non-fiction,Stories,,Thoughts
The Ladies of Grace Adieu and Other Stories,"Clarke, Susanna",1,,3,2006,,1,,0,,,1,,,,,,1,2,
The Meaning of Night,"Cox, Michael",0,,3,2006,,0,gothic,19,,,,,,,1,,,1,
The Glass Books of the Dream Eaters,"Dahlquist, Gordon",0,Dream Eaters 1,3,2006,,0,gothic,0,,,1,,,,,,,2,
Twilight of the Superheroes,"Eisenberg, Deborah",1,,3,2006,,1,america,0,,,,,,,,,1,1,
The Fourth Bear,"Fforde, Jasper",0,,4,2006,,0,,0,,,1,1,,1,,,,9,
Fragile Things: Short Fictions and Wonders,"Gaiman, Neil",0,,3,2006,,0,gothic,0,,,1,,,,,,1,10,
The Quiet Girl,"Hoeg, Peter",0,,1,2006,,0,,0,,,,,,,,,,3,
Kalooki Nights,"Jacobson, Howard",0,,3,2006,,0,,0,,,,,,,,,,4,
The Road,"McCarthy, Cormac",0,,1,2006,,0,,0,,,,,,,,,,2,
Incredible Bodies,"McGuire, Ian",0,,3,2006,,1,,0,,,,,,,,,,1,
The View from Castle Rock,"Munro, Alice",1,,2,2006,,1,,0,,,,,,,,,1,1,
The Testament of Gideon Mack,"Robertson, James",0,,4,2006,,0,,0,,,,,,,,,,3,
The Interpretation of Murder,"Rubenfeld, Jed",0,,2,2006,,0,,0,,,,,,,,,,1,
The Book of Dave: A Revelation of the Recent Past and the Distant Future,"Self, Will",0,,3,2006,,0,,0,,,,,,,,,,6,
The End of Mr. Y,"Thomas, Scarlett",1,,3,2006,,0,,0,,,,,,,,,,5,
The Penelopiad,"Atwood, Margaret",1,,2,2005,,0,classical,0,,,1,,,,,,,14,
J.G. Ballard Conversations,"Ballard, J.G.",0,,4,2005,,1,,0,,,,,,,,1,,20,
The Steep Approach to Garbadale,"Banks, Iain",0,,2,2005,,0,,0,,,,,,,,,,14,
The Big Over Easy ,"Fforde, Jasper",0,,4,2005,,0,,0,,,,,,,,,,9,
Anansi Boys,"Gaiman, Neil",0,,4,2005,,0,,0,,,1,,,1,,,,10,
Never Let Me Go,"Ishiguro, Kazuo",0,,4,2005,,0,,0,,,,,,,,,,5,
The Historian,"Kostova, Elizabeth",1,,2,2005,,0,,0,,,,,,,,,,1,
No Country For Old Men,"McCarthy, Cormac",0,,2,2005,,0,,0,,,,,,,,,,2,
Looking for Jake,"Miéville, China",0,,3,2005,,0,,0,,,,,,,,,1,10,
Explorers of the New Century,"Mills, Magnus",0,,2,2005,,0,,0,,,,,,,,,,4,
Thud!,"Pratchett, Terry",0,Discworld 34,3,2005,,0,,0,,,,,,,,,,32,
Harry Potter and the Half-Blood Prince,"Rowling, J.K.",1,Harry Potter 6,3,2005,,0,,0,,,,,,,,,,5,
