Title,Author ,MF,Series,Rating,Year,Date Read,Owned?,Keywords,Century,Drama,SF,Fantasy,Detectives,Spies,Comedy,History,Non-fiction,Stories,,Thoughts
The Just City,"Walton, Jo",1,Thessaly,3,2015,19/10/2019,1,,NA,,,1,,,,,,,,
Ripley's Game,"Highsmith, Patricia",1,Ripley,4,1974,15/10/2019,1,,20,,,,,,,,,,,
Ripley Under Ground,"Highsmith, Patricia",1,Ripley,3,1970,07/10/2019,1,,20,,,,,,,,,,,
The Silence of the Girls,"Barker, Pat",1,,3,2018,30/09/2019,1,iliad,NA,,,,,,,,,,,
Raffles the Amateur Cracksman,"Hornung, EW",0,,3,1901,29/09/2019,1,,19,,,,,,,,,1,,
The First Fifteen Lives of Harry August,"North, Claire",1,,2,2014,23/09/2019,0,,20,,,1,,,,,,,,
City of Stairs,"Bennett, Robert Jackson",0,Divine Cities,4,2014,21/09/2019,0,,NA,,,1,,,,,,,,
Equations of Life,"Morden, Simon",0,Petrovich,2,2011,14/09/2019,0,,21,,1,,,,,,,,,
Acts of the Assassins,"Beard, Richard",0,,4,2015,10/09/2019,0,,NA,,,,1,,,,,,,
The Anubis Gates,"Powers, Tim",0,,3,1983,06/09/2019,1,,19,,,1,,,,,,,,
At Mrs Lippincote's,"Taylor, Elizabeth",1,,2,1945,31/08/2019,1,,20,,,,,,,,,,,
Because Internet,"McCulloch, Gretchen",1,,3,2019,25/08/2019,0,,21,,,,,,,,1,,,
Water Shall Refuse Them,"Hardy, Lucie McNight",1,,3,2019,22/08/2019,1,,20,,,,,,,,,,,
Blackfish City,"Miller, Sam J",0,,4,2018,17/08/2019,0,,21,,1,,,,,,,,,
Human Voices,"Fitzgerald, Penelope",1,,2,1980,09/08/2019,0,second world war,20,,,,,,,,,,,
The Rift,"Allan, Nina",1,,4,2017,04/08/2019,0,,21,,,,,,,,,,,
Washington Black,"Edugyan, Esi",1,,3,2018,29/07/2019,0,,19,,,,,,,1,,,,
Transcription,"Atkinson, Kate",1,,3,2018,23/07/2019,1,,20,,,,,1,,,,,,
The Hanging Tree,"Aaronovitch, Ben",0,Peter Gran,3,2016,17/07/2019,1,,21,,,1,1,,,,,,,
The Electric Michaelangelo,"Hall, Sarah",1,,3,2005,15/07/2019,1,,20,,,,,,,,,,,
The House on Vesper Sands,"O'Donnell, Paraic",0,,4,2018,06/07/2019,1,Gothic,19,,,,1,,,,,,,
Conversations With Friends,"Rooney, Sally",1,,4,2017,02/07/2019,1,Ireland,21,,,,,,,,,,,
The Winged Histories,"Samatar, Sofia",1,Olondria,4,2016,29/06/2019,1,,NA,,,1,,,,,,,,
Alif the Unseen,"Wilson, G Willow",1,,3,2012,28/06/2019,1,,21,,,1,,,,,,,,
Ninefox Gambit,"Lee, Yoon Ha",0,Machineries of Empire,2,2016,24/06/2019,1,,NA,,1,1,,,,,,,,
The Invisible Circus,"Egan, Jennifer",1,,3,1995,16/06/2019,0,,20,,,,,,,,,,,
Half a War,"Abercrombie, Joe",0,Shattered Sea,4,2015,10/06/2019,0,,NA,,,1,,,,,,,,
Half the World,"Abercrombie, Joe",0,Shattered Sea,4,2015,05/06/2019,0,,NA,,,1,,,,,,,,
Foundryside,"Bennett, Robert Jackson",0,Founders,4,2018,01/06/2019,0,,NA,,,1,,,,,,,,
When WIll There Be Good News?,"Atkinson, Kate",1,Jackson Brodie,3,2008,26/05/2019,1,,21,,,,1,,,,,,,
The Poppy War,"Huang, R F",1,,3,2018,23/05/2019,0,,NA,,,1,,,,,,,,
Circe,"Miller, Madeline",1,,4,2018,16/05/2019,1,,NA,,,1,,,,,,,,
Half a King,"Abercrombie, Joe",0,Shattered Sea,4,2014,13/05/2019,0,,NA,,,1,,,,,,,,
The Talented Mr Ripley,"Highsmith, Patricia",1,Tom Ripley,4,1955,08/05/2019,0,,20,,,,,,,,,,,
Dead Lions,"Herron, Mick",0,Slough House,3,2013,03/05/2019,0,,21,,,,,1,,,,,,
At Freddie's,"Fitzgerald, Penelope",1,,3,1982,01/05/2019,0,,20,,,,,,1,,,,,
The Grace of Kings,"Liu, Ken",0,,2,2015,28/04/2019,0,,NA,,,1,,,,,,,,
Cassandra at the Wedding,"Baker, Dorothy",1,,4,1962,26/04/2019,0,,20,,,,,,1,,,,,
The Race,"Allan, Nina",1,,3,2014,17/04/2019,0,,22,,1,,,,,,,,,
The Betrayal,"Dunmore, Helen",1,,4,2010,13/04/2019,0,,20,,,,,,,1,,,,
Slow Horses,"Herron, Mick",0,Slough House,3,2010,06/04/2019,0,,21,,,,,1,,,,,,
Seven Surrenders,"Palmer, Ada",1,Terrra Ignota,2,2017,03/04/2019,0,,25,,1,,,,,,,,,
The Western Wind,"Harvey, Samantha",1,,3,2018,29/03/2019,0,,15,,,,,,,1,,,,
Nobody Walks,"Herron, Mick",0,,3,2015,22/03/2019,0,,21,,,,,1,,,,,,
Exposure,"Dunmore, Helen",1,,3,2016,19/03/2019,0,,20,,,,,1,,,,,,
Aurora Rising,"Reynolds, Alastair",0,Dreyfus,3,2007,17/03/2019,1,,25,,1,,,,,,,,,
We Have Always Lived in the Castle,"Jackson, Shirley",1,,4,1962,08/03/2019,0,,20,,,,,,,,,,,
84k,"North, Claire",1,,3,2018,05/03/2019,1,,21,,1,,,,,,,,,
Fen,"Johnson, Daisy",1,,4,2016,02/03/2019,0,,21,,,,,,,,,1,,
Too Like The Lightning,"Palmer, Ada",1,Terra Ignota,3,2016,23/02/2019,0,,25,,1,,,,,,,,,
One Good Turn,"Atkinson, Kate",1,Jackson Brodie,3,2007,15/02/2019,1,,21,,,,1,,,,,,,
Gnomon,"Harkaway, Nick",0,,3,2017,09/02/2019,1,,21,,1,,,,,,,,,
Acceptance,"VanderMeer, Jeff",0,Southern Reach,3,2014,05/02/2019,0,,21,,,,,,,,,,,
The Idiot,"Batuman, Elif",1,,3,2017,23/01/2019,0,"campus, america, hungary",20,,,,,,,,,,,
This Census Taker,"Mieville, China",0,,4,2016,10/01/2019,0,,NA,,,1,,,,,,,,
Spook Country,"Gibson, William",0,Blue Ant,4,2007,09/01/2019,1,,21,,,,,1,,,,,,
The Means of Escape,"Fitzgerald, Penelope",1,,3,2001,04/01/2019,0,,NA,,,,,,,,,1,,
Golden Apples of the Sun,"Bradbury, Ray",0,,2,1953,28/12/2018,1,,NA,,,,,,,,,1,,
Sugar Money,"Harris, Jane",1,,4,2017,21/12/2018,0,,21,,,,,,,1,,,,
"He, She and It","Piercy, Marge",1,,4,1992,16/12/2018,1,cyberpunk,21,,1,,,,,,,,,
After Me Comes the Flood,"Perry, Sarah",1,,3,2014,14/12/2018,0,,21,,,,,,,,,,,
Autonomous,"Newitz, Annalee",1,,3,2017,04/12/2018,0,,22,,1,,,,,,,,,
Case Histories,"Atkinson, Kate",1,Jackson Brodie,4,2004,28/11/2018,0,,21,,,,1,,,,,,,
The Night Circus,"Morgenstein, Erin",1,,4,2011,20/11/2018,0,,19,,,1,,,,,,,,
The Dispossessed,"Le Guin, Ursula K",1,,4,1974,15/11/2018,0,,NA,,1,,,,,,,,,
A Madness of Angels,"Griffin, Kate",1,,2,2008,09/11/2018,0,,21,,,1,,,,,,,,
Murder in the Dark,"Atwood, Margaret",1,,3,1983,30/10/2018,0,,20,,,,,,,,,1,,
Madame Zero,"Hall, Sarah",1,,3,2017,26/10/2018,0,,21,,,,,,,,,1,,
At Hawthorn Time,"Harrison, Melissa",1,,3,2015,20/10/2018,0,,21,,,,,,,,,,,
The Sudden Appearance of Hope,"North, Claire",1,,4,2016,13/10/2018,0,,21,,,,,,,,,,,
Tehanu,"Le Guin, Ursula K",1,Earthsea,4,1990,07/10/2018,1,,Na,,,1,,,,,,,,
Sisters by a River,"Comyns, Barbara",1,,3,1947,02/10/2018,0,,20,,,,,,,,,,,
The End of the Day,"North, Claire",1,,5,2017,23/09/2018,0,,21,,,,,,,,,,,
Sea of Rust,"Cargill, C Robert",0,,3,2017,21/09/2018,1,,NA,,1,,,,,,,,,
The Lost Flowers of Alice Hart,"Ringland, Holly",1,,4,2018,15/09/2018,1,australia,21,,,,,,,,,,,
Jamaica Inn ,"Du Maurier, Daphne",1,,3,1936,04/09/2018,1,,19,,,,,,,1,,,,
Cibola Burn,"Corey, James M",0,Expanse 4,3,2014,27/08/2018,0,,22,,1,,,,,,,,,
Kindred,"Butler, Octavia",1,,4,1979,23/08/2018,0,,19,,,,,,,1,,,,
The Rise of Ransom City,"Gilman, Felix",0,,3,2012,20/08/2018,1,signed,NA,,,1,,,,,,,,
The Wolf Border,"Hall, Sarah",1,,4,2015,18/08/2018,1,,21,,,,,,,,,,,
The Last Days of New Paris,"Mieville, China",0,,3,2016,07/08/2018,0,,20,,,1,,,,,,,,
Provenance,"Leckie, Ann",1,,3,2017,01/08/2018,1,,NA,,1,,,,,,,,,
The Poisonwood Bible,"Kingsolver, Barbara",1,,3,1998,26/07/2018,0,congo,20,,,,,,,,,,,
Different class,"Harris, Joanne",1,,3,2016,20/07/2018,0,,21,,,,,,,,,,,
The Hoarder,"Kidd, Jess",1,,4,2018,12/07/2018,0,,21,,,,,,,,,,,
Daughter of Smoke and Bone,"Taylor, Laini",1,,3,2011,03/07/2018,0,,21,,,1,,,,,,,,
The Essex Serpent,"Perry, Sarah",1,,4,2016,30/06/2018,0,,19,,,,,,,1,,,,
Manhattan Beach,"Egan, Jennifer",1,,4,2017,17/06/2018,1,,20,,,,,,,1,,,,
A Stranger in Olondria,"Samatar, Sofia",1,,5,2013,12/06/2018,1,,NA,,,1,,,,,,,,
Emperor of the Eight Islands,"Hearn, Lian",1,,3,2016,08/06/2018,0,japan,NA,,,1,,,,,,,,
The Comforters,"Spark, Muriel",1,,3,1957,03/06/2018,0,,20,,,,,,,,,,,
The Public Image,"Spark, Muriel",1,,4,1968,28/05/2018,0,,20,,,,,,,,,,,
The Trees,"Shaw, Ali",0,,2,2016,25/05/2018,1,,21,,,1,,,,,,,,
Archangel,"Gibson, William",0,,2,2017,19/05/2018,1,time travel,20,,1,,,1,,,,,,
The Blood Miracles,"McInerney, Lisa",1,,4,2017,16/05/2018,0,,21,,,,,,,,,,,
Barricade,"Wallace, Jon",0,,4,2014,12/05/2018,0,,21,,1,,,,,,,,,
Fell,"Ashworth, Jenn",1,,4,2016,09/05/2018,0,,20,,,,,,,,,,,
Weapons of Math Destruction,"O'Neil, Cathy",1,,3,2016,07/05/2018,1,,21,,,,,,,,1,,,
Boneshaker,"Priest, Cherie",1,,3,2009,27/04/2018,1,steampunk,19,,,1,,,,,,,,
The Keep,"Egan, Jennifer",1,,3,2006,23/04/2018,1,,21,,,,,,,,,,,
The Carhullan Army,"Hall, Sarah",1,,4,2008,13/04/2018,1,dystopian,21,,,,,,,,,,,
The Autograph Man,"Smith, Zadie",1,,3,2002,08/04/2018,0,,20,,,,,,,,,,,
The Silver Tide,"Williams, Jen",1,,2,2016,29/03/2018,0,,NA,,,1,,,,,,,,
Lady Oracle,"Atwood, Margaret",1,,3,1976,20/03/2018,0,,20,,,,,,,,,,,
Sula,"Morrison, Toni",1,,3,1973,09/03/2018,0,,20,,,,,,,,,,,
Station 11,"St John Mandel, Emily",1,,3,2014,04/03/2018,0,apocalyptic,21,,1,,,,,,,,,
The Vagrant,"Newman, Peter",0,,4,2015,02/03/2018,1,apocalyptic,NA,,,1,,,,,,,,
Occupy me,"Sullivan, Tricia",1,,3,2016,21/02/2018,1,,21,,1,,,,,,,,,
The Farthest Shore,"Le Guin, Ursula K",1,,4,1973,17/02/2018,1,childrens,NA,,,1,,,,,,,,
Behind the scenes at the museum,"Atkinson, Kate",1,,3,1995,14/02/2018,0,,20,,,,,,1,,,,,
The Obelisk Gate,"Jemisin, NK",1,,4,2016,31/01/2018,1,,NA,,,1,,,,,,,,
Revenger,"Reynolds, Alastair",0,,3,2016,24/01/2018,0,,NA,,1,,,,,,,,,
Swing Time,"Smith, Zadie",1,,4,2009,17/01/2018,0,,20,,,,,,,,,,,
The Tombs of Atuan,"Le Guin, Ursula K",1,,4,1970,13/01/2018,1,childrens,NA,,,1,,,,,,,,
Borderline,"Baker, Mishell",1,,3,2016,04/01/2018,1,,21,,,1,,,,,,,,
A Wizard of Earthsea,"Le Guin, Ursula K",1,,4,1968,30/12/2017,1,childrens,NA,,,1,,,,,,,6,
The Many Selves of Katherine North,"Geen, Emma",1,,2,2016,26/12/2017,0,,21,,1,,,,,,,,1,
The Book of Phoenix,"Okorafor, Nnedi",1,,3,2015,22/12/2017,0,,22,,1,1,,,,,,,1,
Coroner's Pidgin,"Allingham, Margery",1,,3,1945,18/12/2017,1,,20,,,,1,,,,,,3,
The Shipping News,"Proulx, Annie",1,,4,1993,09/12/2017,0,,20,,,,,,,,,,1,
Magician's Guild,"Canavan, Trudi",1,,2,2004,03/12/2017,0,,NA,,,1,,,,,,,1,
House of Binding Thorns,"de Bodard, Aliette",1,,4,2017,26/11/2017,1,signed,20,,,1,,,,,,,2,
House of Suns,"Reynolds, Alastair",0,,3,2008,10/11/2017,1,audiobook,NA,,1,,,,,,,,8,
The Fifth Season,"Jemisin, NK",1,,4,2015,08/11/2017,1,,NA,,,1,,,,,,,2,
Black Plumes,"Allingham, Margery",1,,2,1940,28/10/2017,1,,20,,,,1,,,,,,3,
The Bricks That Built the Houses,"Tempest, Kate",1,,4,2016,27/10/2017,0,drugs,21,,,,,,,,,,1,
City of Circles,"Richards, Jess",1,,2,2017,20/10/2017,0,,20,,,1,,,,,,,3,
Slade House,"Mitchell, David",0,,3,2015,17/10/2017,1,audiobook,20,,,1,,,,,,,7,
The Pursuit of Love,"Mitford, Nancy",1,,3,1945,12/10/2017,1,,20,,,,,,1,,,,6,
Himself,"Kidd, Jess",1,,4,2016,06/10/2017,0,,20,,,1,,,,1,,,2,
Abaddon's Gate,"Corey, James M",0,,3,2013,06/10/2017,1,,NA,,1,,,,,,,,4,
City of Woven Streets,"Itäranta, Emmi ",1,,2,2015,26/09/2017,0,,NA,,,1,,,,,,,1,
The Power,"Alderman, Naomi",1,,5,2016,18/09/2017,1,,21,,1,,,,,,,,1,
The Daughter of Time,"Tey, Josephine",1,,3,1951,16/09/2017,1,,20,,,,1,,,1,,,1,
The Song of Achilles,"Miller, Madeline",1,,4,2011,12/09/2017,0,classics,BC,,,1,,,,1,,,2,
Snow Crash,"Stephenson, Neal",0,,2,2000,08/09/2017,1,audiobook,21,,1,,,,,,,,7,
Mystery Mile,"Allingham, Margery",1,,3,1930,01/09/2017,1,,20,,,,1,,,,,,3,
Brick Lane,"Ali, Monica",1,,3,2003,24/08/2017,0,"london, pakistan",21,,,,,,,,,,1,
Emotionally Weird,"Atkinson, Kate",1,,3,2001,15/08/2017,0,campus,20,,,,,,1,,,,7,
Synners,"Cadigan, Pat",1,,3,1991,01/08/2017,1,,21,,1,,,,,,,,1,
Pattern Recognition,"Gibson, William",0,,4,2003,29/07/2017,1,audiobook,21,,,,,,,,,,6,
The Time of the Angels,"Murdoch, Iris",1,,3,1966,18/07/2017,1,,20,,,,,,,,,,10,
Declare,"Powers, Tim",0,,2,2001,10/07/2017,1,audiobook,20,,,1,,1,,1,,,3,
Last Night in Montreal,"St John Mandel, Emily",1,,3,2009,03/07/2017,0,,21,,,,,,,,,,2,
Caliban's War,"Corey, James M",0,,3,2016,23/06/2017,1,audiobook,NA,,1,,,,,,,,4,
Leviathan Wakes,"Corey, James M",0,,3,2015,10/06/2017,1,audiobook,NA,,1,,,,,,,,4,
The Heroes,"Abercrombie, Joe",0,,4,2011,29/05/2017,1,audiobook,NA,,,1,,,,,,,9,
Saints of the Shadow Bible,"Rankin, Ian",0,,3,2014,20/05/2017,0,audiobook,21,,,,1,,,,,,3,
The Portable Veblen,"McKenzie, Elizabeth",1,,3,2016,12/05/2017,0,,21,,,,,,,,,,1,
Glorious Angels,"Robson, Justina",1,,3,2015,05/05/2017,1,,NA,,1,1,,,,,,,2,
All the Birds in the Sky,"Anders, Charlie Jane",1,,1,2016,20/04/2017,1,,21,,1,1,,,,,,,1,"Awful, childish crap"
Authority,"VanderMeer, Jeff",0,,3,2014,19/04/2017,0,,21,,1,,,,,,,,5,
The Witchfinder's Sister,"Underdown, Beth",1,,4,2017,09/04/2017,1,,17,,,,,,,1,,,1,
Foxlowe,"Wasserberg, Eleanor",1,,4,2016,01/04/2017,1,,21,,,,,,,,,,1,
The Iron Ghost,"Williams, Jen",1,,3,2015,24/03/2017,0,,NA,,,1,,,,,,,2,
Clay,"Harrison, Melissa",1,,3,2013,17/03/2017,0,Nature,20,,,,,,,,,,2,
Wolf Hall,"Mantel, Hillary",1,,4,2009,15/03/2017,1,,16,,,,,,,1,,,1,
The Gap of Time,"Winterson, Jeanette",1,,4,2015,10/03/2017,1,"Shakespeare, book-related",21,,,,,,,,,,7,Slightly uneven but largely brilliant
Ombria in Shadow,"McKillip, Patricia A",1,,4,2002,06/03/2017,1,,NA,,,1,,,,,,,1,Wow. Bit Gormenghastly
Hag-Seed,"Atwood, Margaret",1,,3,2016,24/02/2017,0,"Shakespeare, book-related",21,,,,,,,,,,14,
The Heart Goes Last,"Atwood, Margaret",1,,3,2015,18/02/2017,0,dystopia,21,,1,,,,1,,,,14,
The Copper Promise,"Willians, Jen",1,,3,2014,18/02/2017,0,,NA,,,1,,,,,,,1,
Almost English,"Mendelson, Charlotte",1,,2,2013,10/02/2017,0,,20,,,,,,,,,,1,
The Glorious Heresies,"McInerney, Lisa",1,,4,2015,02/02/2017,0,ireland,21,,,,,,,,,,2,
The Mysteries,"Tuttle, Lisa",1,,3,2005,28/01/2017,0,scotland,21,,,1,,,,,,,1,
The Panopticon,"Fagan, Jenni",1,,4,2012,21/01/2017,0,scotland,21,,,,,,,,,,1,Hugely unexpectedly brilliant
House of Shattered Wings,"de Bodard, Aliette",1,,4,2015,08/01/2017,1,,20,,,1,,,,,,,2,Yeah.
The Cheltenham Square Murder,"Bude, John",0,,3,1937,29/12/2016,1,,20,,,,1,,,,,,1,
Round the World in 80 Days,"Verne, Jules",0,,1,1873,26/12/2016,1,,19,,,,,,,,,,1,
Porterhouse Blue,"Sharpe, Tom",0,,3,1974,18/12/2016,0,campus,20,,,,,,1,,,,1,
Oranges Aren't the Only Fruit,"Winterson, Jeanette",1,,3,1985,14/12/2016,0,,20,,,,,,,,,,7,
Get in Trouble,"Link, Kelly",1,,4,2015,10/12/2016,0,,20,,,1,,,,,,1,2,Not as great as her others but still very good
The Long Way To A Small Angry Planet,"Chambers, Becky",1,,2,2014,06/12/2016,0,,22+,,1,,,,,,,,1,"Fluffy and dreary, though it picked up towards the end"
House of Leaves,"Danielewski, Mark Z",0,,2,2000,03/12/2016,1,horror,20,,,,,,,,,,1,Don't get the fuss. Gimmicks are underused; academic parts awful
Once You Break a Knuckle,"Wilson, DW",0,,4,2011,26/11/2016,0,canada,21,,,,,,,,,1,1,
The Galaxy Game,"Lord, Karen",1,,1,2014,20/11/2016,0,,22+,,1,,,,,,,,2,
The Night Watch,"Waters, Sarah",1,,3,2006,19/11/2016,1,War,20,,,,,,,1,,,2,
Shylock Is My Name,"Jacobson, Howard",0,,3,2016,03/11/2016,0,Book-related,21,,,,,,,,,,4,
The Relic Guild,"Cox, Edward",0,,2,2014,29/10/2016,0,,NA,,,1,,,,,,,1,
Annihilation,"VanderMeer, Jeff",0,Southern Reach,3,2014,26/10/2016,1,Horror,21,,1,,,,,,,,5,
The Seed Collectors,"Thomas, Scarlett",1,,3,2015,19/10/2016,0,,21,,,,,,1,,,,5,Loved it to begin with; disappointed by end
Black Swan Green,"Mitchell, David",0,,4,2006,07/10/2016,1,,20,,,,,,,,,,7,
The Half-Made World,"Gilman, Felix",0,,3,2010,28/09/2016,1,Western,19,,,1,,,,,,,3,
The Incarnations,"Barker, Susan",1,,3,2014,16/09/2016,0,China,Mix,,,,,,,1,,,1,Bloody depressing
The Book of Signs,"Koch, Rudolph",0,,2,1930,16/09/2016,0,,NA,,,,,,,,1,,1,Weird but nicely drawn symbols
Meatspace,"Shukla, Nikesh",0,,3,2014,07/09/2016,0,,21,,,,,,1,,,,1,
The Three-Body Problem,"Liu, Cixin",0,,1,2008,28/08/2016,0,,22+,,1,,,,,,,,1,Gave up
The Wild Places,"Macfarlane, Robert",0,,4,2007,25/08/2016,1,,NA,,,,,,,,1,,2,
One City,"Rankin, Ian; Welsh, Irvine; McCall-Smith, Alexander",0,,2,2006,22/08/2016,1,Edinburgh,21,,,,,,,,,1,1,Ian Rankin's story was the best
Not Forgetting the Whale,"Ironmonger, John",0,,3,2015,20/08/2016,0,Cornwall,21,,,,,,,,,,3,Pleasant but unperilous and ruined by 'Have a woman as a prize' ending
The Best of All Possible Worlds,"Lord, Karen",1,,3,2013,14/08/2016,0,,22+,,1,,,,,,,,2,
The Book of Legendary Lands,"Eco, Umberto",0,,4,2013,12/08/2016,1,,NA,,,,,,,,1,,7,
The Maker of Swans,"O'Connell, Paraic",0,,4,2016,06/08/2016,0,Gothic,20,,,1,,,,,,,1,
Under the Skin,"Faber, Michel",0,,4,2000,17/07/2016,1,Scotland,20,,1,,,,,,,,3,
Best Served Cold,"Abercrombie, Joe",0,First Law World 1,4,2009,09/07/2016,1,,15,,,1,,,,,,,9,
Moral Disorder and Other Stories,"Atwood, Margaret",1,,3,2006,07/07/2016,0,Canada,0,,,,,,,,,1,14,
Assassin's Quest,"Hobb, Robin",1,Farseer 3,3,1997,22/06/2016,0,,0,,,1,,,,,,,3,
Into Everywhere,"McAuley, Paul",0,Jackaroo 2,4,2016,20/06/2016,0,,0,,1,,,,,,,,8,
Last Argument of Kings,"Abercrombie, Joe",0,The First Law 3,4,2008,22/05/2016,1,,0,,,1,,,,,,,9,
Before They Are Hanged,"Abercrombie, Joe",0,The First Law 2,4,2007,22/05/2016,1,,0,,,1,,,,,,,9,
On the Steel Breeze,"Reynolds, Alastair",0,Poseidon's Children 2,2,2013,12/05/2016,0,,0,,1,,,,,,,,8,
The Flamethrowers,"Kushner, Rachel",1,,3,2013,11/05/2016,0,"america, art, italy",0,,,,,,,,,,1,
"Saga, Volume 4","Vaughan, Brian K.",0,,3,2015,28/04/2016,,,0,,,,,,,,,,4,
Europe in Autumn,"Hutchinson, Dave",0,Fractured Europe 1,4,2014,20/04/2016,0,Near-future,0,,1,,,1,,,,,1,
Ballistics,"Wilson, D.W.",0,,5,2013,16/04/2016,0,Canada,0,,,,,,,,,,1,
Royal Assassin ,"Hobb, Robin",1,Farseer 2,4,1996,15/04/2016,0,,0,,,1,,,,,,,3,
Animals,"Unsworth, Emma Jane",1,,4,2014,26/03/2016,0,,0,,,,,,1,,,,1,
Assassin's Apprentice,"Hobb, Robin",1,Farseer 1,3,1995,19/03/2016,0,,0,,,1,,,,,,,3,
"Saga, Volume 2","Vaughan, Brian K.",0,,4,2013,12/03/2016,1,Graphic novel,0,,1,1,,,,,,,4,
The Game,"Byatt, A.S.",1,,3,1967,12/03/2016,0,Book-related,0,,,,,,,,,,4,
"Saga, Volume 3","Vaughan, Brian K.",0,,3,2014,28/02/2016,1,Graphic novel,0,,1,1,,,,,,,4,
The Goddess and the Thief,"Fox, Essie",1,,3,2013,13/02/2016,0,gothic,0,,,,,,,1,,,1,
The Scarlet Pimpernel,"Orczy, Emmuska",1,,2,1905,06/02/2016,1,,0,,,,,,,1,,,1,
Hide Me Among the Graves,PowersTim,0,,4,2012,04/02/2016,0,"gothic, book-related",0,,,1,,,,1,,,1,
"Saga, Volume 1","Vaughan, Brian K.",0,,4,2012,28/01/2016,1,Graphic novel,0,,1,1,,,,,,,4,
Satin Island,"McCarthy, Tom",0,,2,2015,26/01/2016,0,,0,,,,,,,,,,4,
Cold Hand in Mine,"Aickman, Robert",0,,2,1975,17/01/2016,0,gothic,0,,,,,,,,,1,1,
Mission To Tashkent,"Bailey, F.M.",0,,3,1946,13/01/2016,1,,0,,,,,1,,,1,,1,
The Republic of Thieves,"Lynch, Scott",0,Gentleman Bastards 3,4,2013,03/01/2016,0,,0,,,1,,,,,,,3,
Ancillary Mercy ,"Leckie, Ann",1,Imperial Radch 3,4,2015,21/12/2015,1,,0,,,,,,,,,,4,
The Man Who Fell to Earth,"Tevis, Walter",0,,3,1963,21/12/2015,1,,0,,1,,,,,,,,1,
Ancillary Sword,"Leckie, Ann",1,Imperial Radch 2,3,2014,12/12/2015,1,,0,,1,,,,,,,,4,
The Circle,"Eggers, Dave",0,,4,2013,04/12/2015,0,near future,0,,,,,,,,,,1,
Look at Me,"Egan, Jennifer",1,,4,2001,01/12/2015,0,america,0,,,,,,,,,,5,
Indoctrinaire,"Priest, Christopher",0,,2,1970,20/11/2015,0,,0,,1,,,,,,,,6,
Bellman & Black,"Setterfield, Diane",1,,2,2013,14/11/2015,0,gothic,0,,,,,,,1,,,1,
The Book of Strange New Things,"Faber, Michel",0,,3,2014,06/11/2015,0,religion,0,,1,,,,,,,,3,
The Thrilling Adventures of Lovelace and Babbage,"Padua, Sydney",1,,4,2015,26/10/2015,0,"graphic novel, ",0,,,,,,,1,1,,1,
Orfeo,"Powers, Richard",0,,3,2014,20/10/2015,1,"america, music",0,,,,,,,,,,1,
Memento Mori,"Spark, Muriel",1,,4,1958,12/10/2015,0,,0,,,,,,1,,,,11,
The Island at the End of the World,"Taylor, Sam",0,,4,2009,09/10/2015,0,religion,0,,,,,,,,,,1,
The Manual of Detection,"Berry, Jedediah",0,,3,2009,03/10/2015,1,,0,,,1,1,,,,,,1,
Codex,"Grossman, Lev",0,,2,2004,03/10/2015,0,book-related,0,,,,,,,,,,1,
Wrack,"Bradley, James",0,,3,1997,25/09/2015,1,australia,0,,,,,,,,,,1,
It's a Long Story: My Life,"Nelson, Willie",0,,3,2015,20/09/2015,0,music,0,,,,,,,,1,,1,
The Peripheral,"Gibson, William",0,,4,2014,15/09/2015,1,"Near future, America, London",0,,1,,,,,,,,6,
Great Jones Street,"DeLillo, Don",0,,3,1973,05/09/2015,1,Music,0,,,,,,,,,,6,
Alphabetical: How Every Letter Tells a Story,"Rosen, Michael",0,,3,2013,03/09/2015,1,,0,,,,,,,,1,,1,
Cooking With Bones,"Richards, Jess",1,,3,2013,27/08/2015,0,,0,,,1,,,,,,,3,
The Bachelors,"Spark, Muriel",1,,3,1960,17/08/2015,1,,0,,,,,,,,,,11,
The Confidential Agent,"Greene, Graham",0,,3,1939,13/08/2015,0,,0,,,,,1,,,,,13,
The Name of the Wind,"Rothfuss, Patrick",0,Kingkiller Chronicle 1,3,2007,06/08/2015,0,,0,,,1,,,,,,,1,
Snake Ropes,"Richards, Jess",1,,3,2012,28/07/2015,0,Islands,0,,,1,,,,,,,3,
Foxglove Summer,"Aaronovitch, Ben",0,Peter Grant 5,3,2014,18/07/2015,1,rural,0,,,1,1,,,,,,6,
Weathering,"Wood, Lucy",1,,4,2015,17/07/2015,0,rural,0,,,,,,,,,,2,
Ancillary Justice,"Leckie, Ann",1,Imperial Radch 1,4,2013,04/07/2015,1,,0,,1,,,,,,,,4,
"Nudge: Improving Decisions About Health, Wealth, and Happiness","Thaler, Richard H.",0,,3,2008,04/07/2015,1,,0,,,,,,,,1,,1,
King Rat,"Miéville, China",0,,4,1998,29/06/2015,0,London,0,,,1,,,,,,,10,
The Bellwether Revivals,"Wood, Benjamin",0,,3,2012,26/06/2015,0,Campus,0,,,,,,,,,,1,
The Apocalypse Codex ,"Stross, Charles",0,Laundry Files 4,3,2012,17/06/2015,0,,0,,,1,,1,,,,,1,
The Revolutions,"Gilman, Felix",0,,4,2014,09/06/2015,0,,0,,,1,,,,1,,,3,
Dr Ragab's Universal Language,"Twigger, Robert",0,,2,2009,30/05/2015,0,,0,,,,,,,,,,1,
The Green Man,"Amis, Kingsley",0,,3,1969,24/05/2015,0,,20,,,1,,,,,,,5,
